category,token,display,text
rest,____,,
prefix-1,___H,,
prefix-1,___L,,
prefix-1,___R,,
prefix-1,___F,,
x,__H_,,
prefix-2,__HH,こ,これ、この
prefix-2,__HL,そ,それ、その
prefix-2,__HR,あ,あれ、あの
prefix-2,__HF,ど,どれ、どの
x,__L_,,
prefix-2,__LH,,
prefix-2,__LL,,
prefix-2,__LR,,
prefix-2,__LF,,
x,__R_,,
prefix-2,__RH,,
prefix-2,__RL,,
prefix-2,__RR,,
prefix-2,__RF,,
x,__F_,,
prefix-2,__FH,,
prefix-2,__FL,,
prefix-2,__FR,,
prefix-2,__FF,,
x,_H__,,
x,_H_H,,
x,_H_L,,
x,_H_R,,
x,_H_F,,
x,_HH_,,
prefix-3,_HHH,ない,ない
prefix-3,_HHL,ほしい,ほしい
prefix-3,_HHR,遠い,遠い
prefix-3,_HHF,近い,近い
x,_HL_,,
prefix-3,_HLH,甘い,甘い
prefix-3,_HLL,苦い,苦い
prefix-3,_HLR,難しい,難しい
prefix-3,_HLF,懐かしい,懐かしい
x,_HR_,,
prefix-3,_HRH,楽しい,楽しい
prefix-3,_HRL,寂しい,寂しい
prefix-3,_HRR,空しい,空しい
prefix-3,_HRF,怖い,怖い
x,_HF_,,
prefix-3,_HFH,悲しい,悲しい
prefix-3,_HFL,愛おしい,愛おしい
prefix-3,_HFR,苦しい,苦しい
prefix-3,_HFF,痛い,痛い
x,_L__,,
x,_L_H,,
x,_L_L,,
x,_L_R,,
x,_L_F,,
x,_LH_,,
prefix-3,_LHH,寒い,寒い
prefix-3,_LHL,暑い,暑い
prefix-3,_LHR,辛い,辛い
prefix-3,_LHF,うるさい,うるさい
x,_LL_,,
prefix-3,_LLH,悪い,悪い
prefix-3,_LLL,良い,良い
prefix-3,_LLR,儚い,儚い
prefix-3,_LLF,恋しい,恋しい
x,_LR_,,
prefix-3,_LRH,あっけない,あっけない
prefix-3,_LRL,しかたない,しかたない
prefix-3,_LRR,正しい,正しい
prefix-3,_LRF,悔しい,悔しい
x,_LF_,,
prefix-3,_LFH,強い,強い
prefix-3,_LFL,弱い,弱い
prefix-3,_LFR,かたい,かたい
prefix-3,_LFF,やわらかい,やわらかい
x,_R__,,
x,_R_H,,
x,_R_L,,
x,_R_R,,
x,_R_F,,
x,_RH_,,
prefix-3,_RHH,あざとい,あざとい
prefix-3,_RHL,優しい,優しい
prefix-3,_RHR,惜しい,惜しい
prefix-3,_RHF,上手い,上手い
x,_RL_,,
prefix-3,_RLH,おいしい,おいしい
prefix-3,_RLL,忙しい,忙しい
prefix-3,_RLR,激しい,激しい
prefix-3,_RLF,ぬるい,ぬるい
x,_RR_,,
prefix-3,_RRH,美しい,美しい
prefix-3,_RRL,かわいい,かわいい
prefix-3,_RRR,広い,広い
prefix-3,_RRF,高い,高い
x,_RF_,,
prefix-3,_RFH,暖かい,暖かい
prefix-3,_RFL,粗い,粗い
prefix-3,_RFR,細かい,細かい
prefix-3,_RFF,丸い,丸い
x,_F__,,
x,_F_H,,
x,_F_L,,
x,_F_R,,
x,_F_F,,
x,_FH_,,
prefix-3,_FHH,長い,長い
prefix-3,_FHL,重い,重い
prefix-3,_FHR,大きい,大きい
prefix-3,_FHF,小さい,小さい
x,_FL_,,
prefix-3,_FLH,濃い,濃い
prefix-3,_FLL,淡い,淡い
prefix-3,_FLR,新しい,新しい
prefix-3,_FLF,古い,古い
x,_FR_,,
prefix-3,_FRH,深い,深い
prefix-3,_FRL,浅い,浅い
prefix-3,_FRR,明るい,明るい
prefix-3,_FRF,暗い,暗い
x,_FF_,,
prefix-3,_FFH,赤い,赤い
prefix-3,_FFL,青い,青い
prefix-3,_FFR,黒い,黒い
prefix-3,_FFF,白い,白い
suffix-1,H___,て,て〔格助詞〕
x,H__H,,
x,H__L,,
x,H__R,,
x,H__F,,
x,H_H_,,
X_XX,H_HH,こう,【指示】こう、そう、ああ
X_XX,H_HL,どう,【疑問】どう、いかさまに
X_XX,H_HR,なぜ,【疑問】なぜ
X_XX,H_HF,もし,もし
x,H_L_,,
X_XX,H_LH,とても,とても
X_XX,H_LL,少し,少し
X_XX,H_LR,最も,最も
X_XX,H_LF,はるかに,はるかに
x,H_R_,,
X_XX,H_RH,たまに,たまに
X_XX,H_RL,また,また
X_XX,H_RR,よく,よく
X_XX,H_RF,ずっと,ずっと
x,H_F_,,
X_XX,H_FH,ちょうど,ちょうど
X_XX,H_FL,必ず,必ず
X_XX,H_FR,夜通し,夜通し
X_XX,H_FF,ひたすら,ひたすら
suffix-2,HH__,も,も
XX_X,HH_H,,
XX_X,HH_L,,
XX_X,HH_R,,
XX_X,HH_F,,
suffix-3,HHH_,,
N,HHHH,【代動詞】,【代動詞】
N,HHHL,【代名詞】,【代名詞】
N,HHHR,,
N,HHHF,,
suffix-3,HHL_,,
N,HHLH,始める、～しはじめる,始める、～しはじめる
N,HHLL,出す、～しだす,出す、～しだす
N,HHLR,続ける、～し続ける,続ける、～し続ける
N,HHLF,しまう、～してしまう,しまう、～してしまう
suffix-3,HHR_,,
N,HHRH,終わる、～し終わる,終わる、～し終わる
N,HHRL,置く、～しておく,置く、～しておく
N,HHRR,ある、～してある,ある、～してある
N,HHRF,いる、～している,いる、～している
suffix-3,HHF_,,
N,HHFH,来る、～してくる,来る、～してくる
N,HHFL,行く、～してゆく,行く、～してゆく
N,HHFR,くれる、～してくれる,くれる、～してくれる
N,HHFF,あげる、～してあげる,あげる、～してあげる
suffix-2,HL__,か,か
XX_X,HL_H,,
XX_X,HL_L,,
XX_X,HL_R,,
XX_X,HL_F,,
suffix-3,HLH_,,
N,HLHH,見る、～してみる,見る、～してみる
N,HLHL,見せる、～してみせる,見せる、～してみせる
N,HLHR,すぎる、~しすぎる,すぎる、~しすぎる
N,HLHF,切る、～しきる,切る、～しきる
suffix-3,HLL_,,
N,HLLH,返す、～しかえす,返す、～しかえす
N,HLLL,あう、～しあう,あう、～しあう
N,HLLR,かねる、～しかねる,かねる、～しかねる
N,HLLF,得る、～しうる,得る、～しうる
suffix-3,HLR_,,
N,HLRH,,
N,HLRL,,
N,HLRR,,
N,HLRF,,
suffix-3,HLF_,,
N,HLFH,,
N,HLFL,,
N,HLFR,,
N,HLFF,,
suffix-2,HR__,と,と
XX_X,HR_H,,
XX_X,HR_L,,
XX_X,HR_R,,
XX_X,HR_F,,
suffix-3,HRH_,,
N,HRHH,する,する
